morphospecies	ordered_vines	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
0_Vitis_riparia	x056_588354	1.00E-05	1.10E-05	1.00E-05	0.144929	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.060243	0.794757
0_Vitis_riparia	x057_588369	1.00E-05	1.00E-05	1.00E-05	0.101523	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.898397
0_Vitis_riparia	x058_588374	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x059_588400	0.043588	1.00E-05	1.00E-05	0.139238	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.126552	0.690561
0_Vitis_riparia	x060_588404	0.014656	1.00E-05	1.00E-05	0.078237	0.048939	1.00E-05	0.060682	1.00E-05	0.030959	0.766487
0_Vitis_riparia	x061_588406	1.00E-05	1.00E-05	1.00E-05	0.085354	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.028176	0.886401
0_Vitis_riparia	x062_588435	0.020842	1.00E-05	1.00E-05	0.089842	1.00E-05	1.00E-05	0.016898	1.00E-05	0.069221	0.803147
0_Vitis_riparia	x063_588436	1.00E-05	1.00E-05	0.422957	0.015786	0.179794	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.381403
0_Vitis_riparia	x064_588437	0.001512	1.20E-05	1.30E-05	0.192786	0.001169	1.00E-05	0.040045	1.00E-05	0.026265	0.738179
0_Vitis_riparia	x065_588440	0.101584	1.00E-05	1.00E-05	0.078174	0.054761	1.00E-05	0.211627	1.00E-05	0.036536	0.517277
0_Vitis_riparia	x066_588455	0.008235	1.00E-05	1.00E-05	0.062674	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.065054	0.863976
0_Vitis_riparia	x067_588456	1.00E-05	1.00E-05	1.00E-05	0.152119	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.847801
0_Vitis_riparia	x068_588483	1.00E-05	0.074235	1.00E-05	0.012233	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.913461
0_Vitis_riparia	x069_588510	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x070_588562	1.00E-05	1.00E-05	1.00E-05	0.09727	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.006238	0.896423
0_Vitis_riparia	x071_588586	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x072_588586	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x073_588586	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.015768	0.984152
0_Vitis_riparia	x074_588586	1.00E-05	1.00E-05	1.00E-05	0.039831	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.960089
0_Vitis_riparia	x075_588586	1.00E-05	1.00E-05	1.00E-05	0.030441	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.969479
0_Vitis_riparia	x076_588586	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.022708	0.977212
0_Vitis_riparia	x077_588586	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.007417	0.992503
0_Vitis_riparia	x078_588653	1.00E-05	1.00E-05	1.00E-05	0.133303	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.063125	0.803502
0_Vitis_riparia	x079_588710	1.00E-05	1.00E-05	1.00E-05	0.058416	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.85687	0.084644
0_Vitis_riparia	x080_588710	1.00E-05	1.00E-05	1.00E-05	0.027421	1.00E-05	1.00E-05	1.40E-05	1.00E-05	0.972495	1.00E-05
0_Vitis_riparia	x081_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05
0_Vitis_riparia	x082_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.40E-05	1.00E-05	1.00E-05	0.999906	1.00E-05
0_Vitis_riparia	x083_588710	1.80E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999902	1.00E-05
0_Vitis_riparia	x084_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.80E-05	1.00E-05	1.00E-05	0.999902	1.00E-05
0_Vitis_riparia	x085_588710	1.00E-05	1.00E-05	1.60E-05	0.035	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.964913	1.00E-05
0_Vitis_riparia	x086_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.30E-05	1.00E-05	0.999907	1.00E-05
0_Vitis_riparia	x087_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.20E-05	1.00E-05	1.00E-05	1.00E-05	0.999908	1.00E-05
0_Vitis_riparia	x088_588710	1.00E-05	1.90E-05	1.00E-05	1.00E-05	1.70E-05	1.00E-05	1.00E-05	1.00E-05	0.999894	1.00E-05
0_Vitis_riparia	x089_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05
0_Vitis_riparia	x090_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05
0_Vitis_riparia	x091_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05
0_Vitis_riparia	x092_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05
0_Vitis_riparia	x093_588710	1.00E-05	1.10E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999909	1.00E-05
0_Vitis_riparia	x094_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05
0_Vitis_riparia	x095_588710	1.00E-05	1.00E-05	1.00E-05	0.083569	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.916351	1.00E-05
0_Vitis_riparia	x096_588710	1.00E-05	1.20E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999908	1.00E-05
